# zipcode,population,num_incidents
1.254000000000000000e+04,7.802000000000000000e+03,1.000000000000000000e+00
1.155000000000000000e+04,5.643500000000000000e+04,1.700000000000000000e+01
1.155300000000000000e+04,2.603400000000000000e+04,2.700000000000000000e+01
1.155200000000000000e+04,2.361600000000000000e+04,9.000000000000000000e+00
1.155400000000000000e+04,3.813200000000000000e+04,1.000000000000000000e+01
1.095000000000000000e+04,4.722600000000000000e+04,1.000000000000000000e+00
1.095600000000000000e+04,3.152100000000000000e+04,1.000000000000000000e+00
1.177900000000000000e+04,3.842100000000000000e+04,1.400000000000000000e+01
1.177100000000000000e+04,1.000700000000000000e+04,1.000000000000000000e+00
1.177700000000000000e+04,8.968000000000000000e+03,1.000000000000000000e+00
1.177600000000000000e+04,2.423500000000000000e+04,3.100000000000000000e+01
1.004000000000000000e+04,4.190500000000000000e+04,5.652000000000000000e+04
1.004400000000000000e+04,1.166100000000000000e+04,8.600000000000000000e+02
1.059100000000000000e+04,2.254000000000000000e+04,1.300000000000000000e+01
1.060600000000000000e+04,1.649900000000000000e+04,4.000000000000000000e+00
1.060400000000000000e+04,1.125000000000000000e+04,3.000000000000000000e+00
1.060500000000000000e+04,1.812600000000000000e+04,1.000000000000000000e+00
1.195900000000000000e+04,9.390000000000000000e+02,1.000000000000000000e+00
1.412700000000000000e+04,2.996100000000000000e+04,1.000000000000000000e+00
1.195100000000000000e+04,1.368000000000000000e+04,1.000000000000000000e+00
1.412000000000000000e+04,4.510000000000000000e+04,5.000000000000000000e+00
1.096200000000000000e+04,5.950000000000000000e+03,2.000000000000000000e+00
1.055200000000000000e+04,1.978600000000000000e+04,9.000000000000000000e+00
1.255000000000000000e+04,5.444700000000000000e+04,4.000000000000000000e+00
