name,zip code tabulation area,zt36 d00,perimeter,lsad trans,zt36 d00 i,lsad,area,latitude,longitude,Total Population per ZIP Code
13697,13697,56,0.857984507,5-Digit ZCTA,55,Z5,0.014345167,44.758753,-74.834581,
129HH,129HH,227,0.056890272,5-Digit ZCTA,226,Z5,2.05E-05,44.235614,-74.8924575,
11104,11104,2068,0.056642611,5-Digit ZCTA,2067,Z5,0.000117317,40.7430005,-73.918416,27232
12413,12413,1299,0.583254464,5-Digit ZCTA,1298,Z5,0.004292845,42.310494,-74.0325635,2948
10925,10925,1776,0.197293123,5-Digit ZCTA,1775,Z5,0.000698124,41.21699406,-74.31138054,
11221,11221,2122,0.090635439,5-Digit ZCTA,2121,Z5,0.000379523,40.6919725,-73.926773,78895
10169,10169,2058,0.003144349,5-Digit ZCTA,2057,Z5,3.83E-07,40.754608,-73.9762035,
12176,12176,1271,0.212860932,5-Digit ZCTA,1270,Z5,0.00101483,42.3840535,-73.971333,198
13152,13152,808,1.255054592,5-Digit ZCTA,807,Z5,0.018768573,42.906105,-76.351945,7941
10536,10536,1753,0.372410878,5-Digit ZCTA,1752,Z5,0.003307021,41.2802295,-73.7303305,10739
13439,13439,877,1.080739747,5-Digit ZCTA,876,Z5,0.024171949,42.855959,-74.9789925,3950
12185,12185,815,0.37411713,5-Digit ZCTA,814,Z5,0.002908736,42.9445385,-73.537764,2037
12901,12901,58,0.869106301,5-Digit ZCTA,57,Z5,0.014668041,44.745425,-73.4696595,
11590,11590,2004,0.243836031,5-Digit ZCTA,2003,Z5,0.001736156,40.7569995,-73.581421,45768
125HH,125HH,1444,0.07480744,5-Digit ZCTA,1443,Z5,0.000181594,42.144247,-73.596087,
12946,12946,156,1.742703413,5-Digit ZCTA,155,Z5,0.051922785,44.2827055,-73.925949,
14772,14772,1384,0.957156169,5-Digit ZCTA,1383,Z5,0.02253078,42.164111,-78.930754,4255
11239,11239,2158,0.060464214,5-Digit ZCTA,2157,Z5,0.000177037,40.644804,-73.8802755,13393
12166,12166,888,0.729012668,5-Digit ZCTA,887,Z5,0.013409516,42.8422365,-74.4453405,1363
12466,12466,1562,0.148546622,5-Digit ZCTA,1561,Z5,0.000503457,41.905572,-73.993704,2471
11758,11758,2172,0.025571742,5-Digit ZCTA,2171,Z5,2.54E-05,40.639501,-73.430018,53804
12147,12147,1164,0.462901438,5-Digit ZCTA,1163,Z5,0.004755862,42.5063995,-74.162628,499
13416,13416,590,0.389582783,5-Digit ZCTA,589,Z5,0.002618606,43.1593775,-75.015467,2271
14485,14485,867,0.529342271,5-Digit ZCTA,866,Z5,0.010089822,42.8836225,-77.602973,4267
138HH,138HH,1316,0.201529743,5-Digit ZCTA,1315,Z5,6.91E-05,42.318861,-75.9438505,
13031,13031,725,0.609195844,5-Digit ZCTA,724,Z5,0.006159655,43.0482575,-76.2957015,15551
149HH,149HH,1536,0.180028309,5-Digit ZCTA,1535,Z5,0.00010859,42.021269,-76.6752235,
13088,13088,664,0.342613545,5-Digit ZCTA,663,Z5,0.002289525,43.1097665,-76.1957475,22156
14213,14213,872,0.048503981,5-Digit ZCTA,871,Z5,6.54E-05,42.923007,-78.9035585,24465
14086,14086,846,0.581730136,5-Digit ZCTA,845,Z5,0.00987577,42.9059585,-78.6263525,31847
10466,10466,1888,0.137890203,5-Digit ZCTA,1887,Z5,0.000571937,40.891328,-73.844779,67813
13694,13694,50,0.109891567,5-Digit ZCTA,49,Z5,0.000198755,44.8700825,-75.2189555,1507
12058,12058,1267,0.383777287,5-Digit ZCTA,1266,Z5,0.005258515,42.33999,-73.917089,1445
11569,11569,2214,0.04009908,5-Digit ZCTA,2213,Z5,4.53E-05,40.616752,-73.568372,
12932,12932,213,0.991489063,5-Digit ZCTA,212,Z5,0.022749147,44.182608,-73.616734,1236
12981,12981,76,1.278495858,5-Digit ZCTA,75,Z5,0.032512047,44.6101225,-73.833192,2253
120HH,120HH,620,0.164992345,5-Digit ZCTA,619,Z5,0.000370368,43.164702,-74.5254045,
12901,12901,93,0.087182018,5-Digit ZCTA,92,Z5,0.000403899,44.6221105,-73.414669,33439
13027,13027,633,0.432967038,5-Digit ZCTA,632,Z5,0.005357827,43.1295615,-76.363896,
14037,14037,941,0.336383058,5-Digit ZCTA,940,Z5,0.004470291,42.815163,-78.439882,1166
12123,12123,1138,0.719906243,5-Digit ZCTA,1137,Z5,0.009995989,42.534794,-73.5939295,5124
14729,14729,1212,0.633736677,5-Digit ZCTA,1211,Z5,0.010418287,42.401248,-78.738099,948
12723,12723,1599,0.689375136,5-Digit ZCTA,1598,Z5,0.010366557,41.769141,-75.0273637,1826
14874,14874,1163,0.166641931,5-Digit ZCTA,1162,Z5,0.000317693,42.534176,-77.1786415,250
13433,13433,387,0.455709819,5-Digit ZCTA,386,Z5,0.006481213,43.6271835,-75.1922345,
14224,14224,918,0.393588562,5-Digit ZCTA,917,Z5,0.005739415,42.8355585,-78.748452,39889
14026,14026,853,0.08433779,5-Digit ZCTA,852,Z5,0.000244825,42.941258,-78.6898515,674
12958,12958,7,0.511599459,5-Digit ZCTA,6,Z5,0.010199335,44.95210654,-73.58098548,1929
12839,12839,464,0.459046079,5-Digit ZCTA,463,Z5,0.009165457,43.339874,-73.550958,13588
14609,14609,595,0.227254849,5-Digit ZCTA,594,Z5,0.002081441,43.176863,-77.555772,42571
12130,12130,1233,0.075075179,5-Digit ZCTA,1232,Z5,0.000149918,42.442547,-73.660098,987
11575,11575,2131,0.107599869,5-Digit ZCTA,2130,Z5,0.000500227,40.678401,-73.5850715,16272
14821,14821,1337,0.758730509,5-Digit ZCTA,1336,Z5,0.016515141,42.2396945,-77.2076695,3314
11942,11942,1908,0.290285084,5-Digit ZCTA,1907,Z5,0.002135919,40.852691,-72.5855815,4603
12157,12157,1072,0.073346468,5-Digit ZCTA,1071,Z5,0.000244763,42.67646,-74.157513,4061
12590,12590,1660,0.64755211,5-Digit ZCTA,1659,Z5,0.009894753,41.586129,-73.8776775,35102
14471,14471,963,0.65997532,5-Digit ZCTA,962,Z5,0.008523546,42.748518,-77.4932495,2672
12477,12477,1426,0.711670173,5-Digit ZCTA,1425,Z5,0.016078288,42.097821,-74.000322,18787
13114,13114,454,0.041950827,5-Digit ZCTA,453,Z5,0.000105038,43.429591,-76.3553545,6356
11758,11758,2213,0.027313674,5-Digit ZCTA,2212,Z5,4.23E-05,40.6180015,-73.4810695,
120HH,120HH,1190,0.196660135,5-Digit ZCTA,1189,Z5,0.000564915,42.48144,-73.9480015,
13690,13690,228,0.626221606,5-Digit ZCTA,227,Z5,0.0113419,44.18935,-74.957671,846
11965,11965,1813,0.301655051,5-Digit ZCTA,1812,Z5,0.001266325,41.07375483,-72.34797881,
14468,14468,2273,0.887813431,5-Digit ZCTA,2272,Z5,0.015534308,43.28448927,-77.8230325,17813
13746,13746,1359,0.327443915,5-Digit ZCTA,1358,Z5,0.002424816,42.2390195,-75.7907255,
14606,14606,642,0.029077902,5-Digit ZCTA,641,Z5,2.58E-05,43.15435186,-77.6891265,28255
13673,13673,222,0.100949896,5-Digit ZCTA,221,Z5,0.000283457,44.244369,-75.683585,2249
